date,time,place,title,class,rating,length,detail,condition,prize,prize,prize,prize,prize,prize,name,jockey,trainer,age,topspeed,weight,rating,price,country,first weight,pos length,pedigree,pedigree,pedigree,favourite,position,starting position,second weight,rpr,mr
27-Mar-22,02:35,Doncaster,SBK Novice Stakes (GBB Race) (Div I),(Class 5),(3yo),7f,-,Good,,,,,,,Maljoom,Tom Marquand,William Haggas,3,39,09-Mar,–,6.5,IRE,9, ,Caravaggio(USA),Nictate(IRE),(Teofilo),FALSE,1,1,3,82,–
27-Mar-22,02:35,Doncaster,SBK Novice Stakes (GBB Race) (Div I),(Class 5),(3yo),7f,-,Good,,,,,,,Encourageable,P J McDonald,James Horton,3,35,09-Mar,–,12,IRE,9,1¼,Profitable(IRE),Dutch Courage,(Dutch Art),FALSE,2,3,3,78,–
27-Mar-22,02:35,Doncaster,SBK Novice Stakes (GBB Race) (Div I),(Class 5),(3yo),7f,-,Good,,,,,,,Castleberg Rock,Jack Mitchell,Tom Clover,3,33,09-Mar,–,6.5,ENG,9,½[1¾],Fastnet Rock(AUS),Banzari,(Motivator),FALSE,3,9,3,77,–
27-Mar-22,02:35,Doncaster,SBK Novice Stakes (GBB Race) (Div I),(Class 5),(3yo),7f,-,Good,,,,,,,No Nay Nicki,Paul Hanagan,Richard Fahey,3,33,09-May,–,14,IRE,9,½[2¼],No Nay Never(USA),Pure Vanity,(New Approach),FALSE,4,6,5,77,–
27-Mar-22,02:35,Doncaster,SBK Novice Stakes (GBB Race) (Div I),(Class 5),(3yo),7f,-,Good,,,,,,,Barley,David Probert,Martyn Meade,3,26,09-Mar,–,1.1,IRE,9,1½[3¾],Mehmas(IRE),Cornakill(USA),(Stormin Fever),TRUE,5,5,3,71,–
27-Mar-22,02:35,Doncaster,SBK Novice Stakes (GBB Race) (Div I),(Class 5),(3yo),7f,-,Good,,,,,,,Amazing Mollie,Connor Beasley,John Mackie,3,16,08-Dec,–,125,ENG,8,1½[5¼],Brazen Beau(AUS),Avonrose,(Avonbridge),FALSE,6,10,12,61,–
27-Mar-22,02:35,Doncaster,SBK Novice Stakes (GBB Race) (Div I),(Class 5),(3yo),7f,-,Good,,,,,,,Border Edge,Adam Kirby,Charlie Appleby,3,19,09-Mar,–,5.5,IRE,9,½[5¾],Shamardal(USA),Emirates Rewards,(Dubawi),FALSE,7,7,3,65,–
27-Mar-22,02:35,Doncaster,SBK Novice Stakes (GBB Race) (Div I),(Class 5),(3yo),7f,-,Good,,,,,,,Bastille,David Allan,Tim Easterby,3,18,09-Mar,–,40,ENG,9,hd[6],Dark Angel(IRE),Bastet(IRE),(Giant's Causeway),FALSE,8,2,3,64,–
27-Mar-22,02:35,Doncaster,SBK Novice Stakes (GBB Race) (Div I),(Class 5),(3yo),7f,-,Good,,,,,,,Looe Beach,Thore Hammer Hansen,Richard Hannon,3,13,09-Mar,–,66,IRE,9,1¾[7¾],Footstepsinthesand,Ruxleys Star(USA),(Artie Schiller),FALSE,9,8,3,59,–
27-Mar-22,02:35,Doncaster,SBK Novice Stakes (GBB Race) (Div I),(Class 5),(3yo),7f,-,Good,,,,,,,Hulton Ranger,Jack Garritty,Mark Walford,3,11,09-Mar,–,300,IRE,9,¾[8½],Slade Power(IRE),City Dazzler(IRE),(Elusive City),FALSE,1,(11,3,56,–
27-Mar-22,02:35,Doncaster,SBK Novice Stakes (GBB Race) (Div I),(Class 5),(3yo),7f,-,Good,,,,,,,Goemon,Andrea Atzeni,Roger Varian,3,7,09-Mar,–,10,ENG,9,1¼[9¾],Dark Angel(IRE),Spangled,(Starspangledbanner),FALSE,1,(4,3,53,–
